"year","media_score","desvio_padrao"
1992,0,NA
2000,17.1,NA
2002,21.77,NA
2004,56.185,19.0423856173537
2005,55.73,NA
2006,32.28,12.1384732702813
2007,52.44,NA
2008,26.3025,9.88930187964078
2009,29.86,3.5449588620086
2010,28.7185714285714,9.96800787280894
2011,33.7225,11.808729468773
2012,31.7242857142857,8.58754496765103
2013,30.18875,7.00397323463108
2014,32.485,2.3546655813512
2015,34.48,9.98299665542477
2016,37.8075,7.44206826090704
2017,39.1088888888889,11.1980050160673
2018,42.3691891891892,13.3849437342399
2019,45.4150666666667,12.2668848193488
2020,42.3954761904762,11.4220048402821
2021,42.8403351955307,9.83525736966055
2022,43.3867226890756,8.87969585608729
2023,43.0356402439024,7.93027915130233
2024,44.0231111111111,7.98363630890532
2025,44.6692041522491,7.44103273542645
2026,42.75,0
